J0024-7204ab -1.0
J0024-7204C 0.878
J0024-7204D 0.214
J0024-7204E -1.0
J0024-7204F -1.0
J0024-7204G -1.0
J0024-7204H -1.0
J0024-7204I -1.0
J0024-7204J -1.0
J0024-7204L -1.0
J0024-7204M -1.0
J0024-7204N -1.0
J0024-7204O -1.0
J0024-7204P -1.0
J0024-7204Q -1.0
J0024-7204R -1.0
J0024-7204S -1.0
J0024-7204T -1.0
J0024-7204U -1.0
J0024-7204V -1.0
J0024-7204W -1.0
J0024-7204X -1.0
J0030+0451 1.706
J0034-0534 2.351
J0034-0721 20.633
J0045-7042 0.303
J0045-7319 0.488
J0051+0423 0.675
J0057-7201 -1.0
J0101-6422 0.772
J0108-1431 2.026
J0111-7131 0.165
J0113-7220 1.103
J0131-7310 0.414
J0133-6957 1.126
J0134-2937 4.109
J0151-0635 5.088
J0152-1637 4.287
J0206-4028 2.635
J0211-8159 1.351
J0255-5304 6.041
J0343-3000 2.482
J0348+0432 -1.0
J0401-7608 15.812
J0418-4154 -1.0
J0421-0345 1.365
J0437-4715 252.522
J0448-2749 1.072
J0449-7031 0.386
J0450-1248 2.482
J0451-67 0.138
J0452-1759 16.097
J0455-6951 0.135
J0456-69 -1.0
J0456-7031 0.138
J0457-6337 0.496
J0457-69 -1.0
J0458-0505 -1.0
J0458-67 -1.0
J0459-0210 1.750
J0502-6617 0.225
J0511-6508 1.931
J0514-4002A 0.063
J0514-4407 -1.0
J0519-6932 0.883
J0520-2553 0.889
J0521-68 -1.0
J0522-6847 0.524
J0529-6652 0.827
J0532-6639 0.221
J0532-69 -1.0
J0533+0402 -1.0
J0534-6703 0.221
J0535-66 -1.0
J0535-6935 0.138
J0536-7543 26.446
J0537-69 -1.0
J0537-6910 -1.0
J0540-6919 -1.0
J0540-7125 1.126
J0542-68 -1.0
J0543-6851 0.607
J0555-7056 0.579
J0600-5756 0.473
J0601-0527 6.105
J0608+00 -1.0
J0610-2100 1.103
J0613-0200 5.645
J0614-3329 -1.0
J0621+0336 2.758
J0623+0340 0.745
J0624-0424 2.882
J0630-0046 1.131
J0630-2834 55.880
J0633-2015 0.552
J0636-4549 0.276
J0652-0142 1.131
J0656-2228 1.655
J0656-5449 -1.0
J0658+0022 0.359
J0702-4956 -1.0
J0709-5923 -1.0
J0711-6830 5.077
J0719-2545 2.250
J0721-2038 1.738
J0725-1635 0.906
J0726-2612 0.552
J0729-1448 1.931
J0729-1836 3.250
J0733-2345 0.193
J0737-2202 1.296
J0737-3039A 4.413
J0737-3039B 3.585
J0738-4042 116.391
J0742-2822 50.166
J0745-5353 5.178
J0746-4529 0.552
J0749-4247 1.715
J0758-1528 3.548
J0804-3647 0.800
J0807-5421 0.965
J0808-3937 0.579
J0809-4753 9.065
J0812-3905 2.427
J0818-3049 1.241
J0818-3232 2.920
J0820-1350 20.727
J0820-3826 3.448
J0820-3921 1.608
J0820-4114 14.488
J0821-4221 2.521
J0823+0159 5.042
J0824+00 -1.0
J0828-3417 1.347
J0831-4406 0.751
J0834-4159 0.524
J0834-60 -1.0
J0835-3707 0.772
J0835-4510 2032.152
J0837-4135 44.129
J0838-2621 4.659
J0838-3947 0.303
J0840-5332 4.984
J0842-4851 1.577
J0843-5022 0.851
J0846-3533 5.549
J0847-4316 -1.0
J0849-6322 -1.0
J0855-3331 1.689
J0855-4644 0.552
J0855-4658 0.634
J0856-6137 2.477
J0857-4424 2.540
J0900-3144 10.481
J0901-4624 1.269
J0902-6325 1.013
J0904-4246 1.715
J0904-7459 2.477
J0905-4536 2.534
J0905-5127 2.898
J0905-6019 0.993
J0907-5157 15.922
J0908-1739 6.125
J0908-4913 15.158
J0909-7212 1.463
J0912-3851 0.386
